Id,Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Number_Of_Reviews,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,Image_Url,Host_id,Host_name,Host_location,Country,Country_code,Longitude,Latitude,Availability_365,Review_Scores
30403133,Amazing Downtown Views from a renovated Suite,Apartment,Entire home/apt,Real Bed,1,14,flexible,8,2.0,3.0,0,170.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/b1051bbc-29f8-476e-900e-e62b4e381b2d.jpg?aki_policy=large,224824750,Hamed,CA,Canada,CA,-73.59817,45.63314,61,0.0
30403212,TAMARAMA BEACH  WITH SUNNY BALCONY AND BBQ.,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,3,119.0,0.0,85.0,0.0,1.0,https://a0.muscache.com/im/pictures/55d946bc-0c6d-42a5-bc93-b874644b5cd4.jpg?aki_policy=large,141944362,Marcela,AU,Australia,AU,151.26474,-33.89803,36,100.0
3040870,Copacabana Bela Vista Apartment  2 - Ocean View!,Apartment,Entire home/apt,Real Bed,2,1125,moderate,4,2.0,4.0,15,515.0,1492.0,187.0,0.0,1.0,https://a0.muscache.com/im/pictures/df5fde3d-d275-4e90-bf9d-c401dff6cb87.jpg?aki_policy=large,3321901,John,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.173415987510296,-22.965422950425285,0,97.0
3041034,"taksim square for 5 minutes, ",Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,237.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/39121887/85d0498f_original.jpg?aki_policy=large,5165751,Berkant Ruhi,"Istanbul, Turkey",Turkey,TR,28.98796,41.03417,365,0.0
30412858,Nostalgic & Simplicity Style 2BR Darling Harbour,Apartment,Entire home/apt,Real Bed,1,1125,moderate,5,2.0,4.0,16,281.0,350.0,109.0,30.0,4.0,https://a0.muscache.com/im/pictures/65ae16c1-7205-4302-8b14-40caed6bc9f0.jpg?aki_policy=large,183259981,Angela,AU,Australia,AU,151.19737,-33.8709,166,86.0
30421791,Honolulu cottage,Tiny house,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,0.0,1.0,2,55.0,0.0,20.0,0.0,1.0,https://a0.muscache.com/im/pictures/4f43552a-5e5f-4833-b047-af6db4fdcdbe.jpg?aki_policy=large,85033678,Gabrielle,US,United States,US,-157.86309,21.33584,0,100.0
3042637,Bronte B&B Studio,Bed and breakfast,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2,0.0,1.0,249,154.0,0.0,0.0,25.0,2.0,https://a0.muscache.com/im/pictures/41728752/6dcac0ce_original.jpg?aki_policy=large,15492831,Susan,"Bronte, New South Wales, Australia",Australia,AU,151.26382,-33.90056,145,99.0
30429154,Comfy private room in Causeway Bay #1 銅鑼灣時代廣場後面大房,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,502.0,0.0,160.0,0.0,1.0,https://a0.muscache.com/im/pictures/ceb77d6a-cda9-4a37-a93d-08251658e0d1.jpg?aki_policy=large,127449394,Yuki,"Hong Kong, Hong Kong",Hong Kong,HK,114.1815,22.2803,0,0.0
30429988,Small Studio in the heart of Sai Ying Pun!,Apartment,Entire home/apt,Real Bed,5,31,strict_14_with_grace_period,2,0.0,1.0,1,447.0,0.0,75.0,0.0,1.0,https://a0.muscache.com/im/pictures/96d962cb-cbd1-42dd-a7b7-ab21b53267c4.jpg?aki_policy=large,46107343,Jen,Hong Kong,Hong Kong,HK,114.14156,22.28542,46,100.0
30430804,Heart of Hong Kong Double Room,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,1,353.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/4f54caea-5c91-48dd-af4e-471e4f60bfdb.jpg?aki_policy=large,212046193,Charles,"Hong Kong, Hong Kong",Hong Kong,HK,114.14311,22.28773,0,80.0
30458196,3 minutes away from Maltepe Metro St. by walking!,Apartment,Private room,Real Bed,1,7,flexible,1,1.0,1.0,0,90.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/630bda82-baa5-4ab8-a6a6-431a20022308.jpg?aki_policy=large,228658566,Esin,TR,Turkey,TR,29.14418,40.93559,90,0.0
30459480,Cosy 3 1/2 Apartment Downtown Montreal,Apartment,Entire home/apt,Real Bed,2,1125,flexible,3,1.0,1.0,1,81.0,0.0,60.0,30.0,3.0,https://a0.muscache.com/im/pictures/5b6cdd5c-a6cb-4644-9baa-d4129ad6952c.jpg?aki_policy=large,228687052,Rim,CA,Canada,CA,-73.5792,45.49547,90,0.0
30459655,Apartamento com terraço para 2 pessoas,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,90.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/2f29071c-cd69-4c84-b61b-0f178a57fc91.jpg?aki_policy=large,2686177,João,"Porto, Porto, Portugal",Portugal,PT,-8.6138,41.14276,306,0.0
